K_Nu,K_E,K_Rho,K_incl,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1,1,0.5,1,0.1,10.0,5.331445883904003e-13,5.331538422009601e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,0.2,5.0,5.334683821503353e-13,5.33139609126383e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,0.3,3.3333333333333326,5.366619441828819e-13,5.363270261929224e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,0.4,2.5,5.329807807132151e-13,5.332606806331455e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,0.5,2.0,5.337385335675863e-13,5.34006012443683e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,0.6,1.6666666666666667,5.366495331696342e-13,5.386820979513006e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,0.7000000000000001,1.4285714285714284,5.374663178577845e-13,5.424334527131678e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,0.8,1.25,5.300800620173768e-13,5.407368555498725e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,0.9,1.1111111111111112,5.295686392597532e-13,5.47917295828464e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,1.0,1.0,5.345196474590235e-13,5.491636851798524e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,1.1,0.909090909090909,5.49100291886452e-13,5.55247905124136e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,1.2000000000000002,0.8333333333333331,5.75271127733424e-13,5.642995275108276e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,1.3000000000000005,0.769230769230769,5.8980079766532e-13,5.625186439237896e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
1,1,0.5,1,1.4,0.7142857142857142,5.97453774252425e-13,5.598337665679988e-13,0.25,50000000000.0,2700,6666.666666666667,3849.001794597505,2502.294445801098
