K_E,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1.09111,0.1,10.0,5.331366240678262e-13,5.331351496373422e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,0.2,5.0,5.333957201042784e-13,5.331374274449286e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,0.3,3.3333333333333326,5.365242822242519e-13,5.366020751805995e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,0.4,2.5,5.361632166316574e-13,5.350153271431353e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,0.5,2.0,5.431016061856531e-13,5.376676471865682e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,0.6,1.6666666666666667,5.533796957352817e-13,5.443490317519843e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,0.7000000000000001,1.4285714285714284,5.59947340321699e-13,5.456554881355727e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,0.8,1.25,5.647635345953151e-13,5.440619338396713e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,0.9,1.1111111111111112,5.669765908758575e-13,5.45228463692806e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,1.0,1.0,5.701528483062972e-13,5.435315236154855e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,1.1,0.909090909090909,5.710117683556485e-13,5.473971369719629e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,1.2000000000000002,0.8333333333333331,5.595130435729712e-13,5.378147222279358e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
1.09111,1.3000000000000005,0.769230769230769,5.583620678082403e-13,5.358595399988812e-13,0.25,50000000000.0,2700,4924.113005292313,2842.9379691256536,2502.294445801098
