K_Nu,K_E,K_Rho,K_incl,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1,1,1,0.309871,0.1,10.0,5.331350305971554e-13,5.331376917855033e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,0.2,5.0,5.335136248788876e-13,5.331782772848883e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,0.3,3.3333333333333326,5.366911925039191e-13,5.363403674767031e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,0.4,2.5,5.329533331357542e-13,5.332166390160247e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,0.5,2.0,5.332503283874792e-13,5.332627029553928e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,0.6,1.6666666666666667,5.366546789099833e-13,5.366469226991883e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,0.7000000000000001,1.4285714285714284,5.37427505211539e-13,5.374227456106453e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,0.8,1.25,5.345922162388782e-13,5.332782107536299e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,0.9,1.1111111111111112,5.324659686680892e-13,5.337711268704996e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,1.0,1.0,5.349714213203576e-13,5.332989050528053e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,1.1,0.909090909090909,5.353622040757492e-13,5.360686065018634e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,1.2000000000000002,0.8333333333333331,5.356662076597013e-13,5.366295423395035e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,1.3000000000000005,0.769230769230769,5.362071438280679e-13,5.346495065676158e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,1.4,0.7142857142857142,5.377130595019055e-13,5.36092088008276e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,1.5000000000000002,0.6666666666666665,5.364301227110694e-13,5.369738315246077e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,1.6,0.625,5.318458622052531e-13,5.337992003977587e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,1.7000000000000002,0.588235294117647,5.34782283159608e-13,5.363137758474077e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,1.8000000000000005,0.5555555555555555,5.379084691929543e-13,5.379907602542133e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,1.9,0.5263157894736842,5.369474392691656e-13,5.355881084209103e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,2.0,0.5,5.359734037618987e-13,5.337752539362486e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,2.1,0.4761904761904761,5.370819586076874e-13,5.348877637111891e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,2.2,0.4545454545454545,5.385626504855883e-13,5.370850007052278e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,2.3000000000000003,0.4347826086956521,5.383990346698815e-13,5.38016964522088e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,2.4000000000000004,0.4166666666666666,5.36440182990294e-13,5.371569240446146e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,2.5000000000000004,0.3999999999999999,5.339157383571461e-13,5.354720176448462e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,2.6,0.3846153846153846,5.320968648770927e-13,5.341375764540837e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,2.7,0.3703703703703703,5.315806500072665e-13,5.337715805294648e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,2.8000000000000003,0.3571428571428571,5.322699031141725e-13,5.34348962697718e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,2.9000000000000004,0.3448275862068965,5.336852496566556e-13,5.354715111735645e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,3.0000000000000004,0.3333333333333332,5.352771874577572e-13,5.366595975714843e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,3.1,0.3225806451612903,5.367244554645667e-13,5.37652843743108e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,3.2,0.3125,5.37586089991528e-13,5.380351625631968e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,3.3000000000000003,0.303030303030303,5.379478096845826e-13,5.379202826099783e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,3.4000000000000004,0.2941176470588235,5.379188690296696e-13,5.374256850361362e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,3.5000000000000004,0.2857142857142857,5.375890129433589e-13,5.366678062040993e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,3.6,0.2777777777777778,5.371403011406961e-13,5.358316791866478e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,3.7,0.2702702702702703,5.367001223808671e-13,5.350512694982246e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,3.8,0.2631578947368421,5.363569102762225e-13,5.344198660346907e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,3.9,0.2564102564102564,5.361592859283085e-13,5.339893312448329e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,4.0,0.25,5.361213199109679e-13,5.337755843938775e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,4.1,0.2439024390243902,5.362324225007821e-13,5.337682299072569e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,4.2,0.238095238095238,5.364656237207001e-13,5.339390867569262e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.309871,4.3,0.2325581395348837,5.367855332933474e-13,5.342502334085278e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
