K_Nu,K_E,K_Rho,K_incl_top_position_y,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1,0.5,1,1,0.1,10.0,5.331409757639275e-13,5.33144721981943e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,0.2,5.0,5.334884606279835e-13,5.331474421024998e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,0.3,3.3333333333333326,5.367156352468787e-13,5.363296200952299e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,0.4,2.5,5.324516202290839e-13,5.329968140401387e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,0.5,2.0,5.332177552389329e-13,5.32272108015651e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,0.6,1.6666666666666667,5.39140384731508e-13,5.33556989428801e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,0.7000000000000001,1.4285714285714284,5.464169971390059e-13,5.290540104404559e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,0.8,1.25,5.432948470917833e-13,5.168547797434064e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,0.9,1.1111111111111112,5.379776139255218e-13,5.078529629274399e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,1.0,1.0,5.232497895485533e-13,4.913448824798417e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,1.1,0.909090909090909,5.052807487952978e-13,4.858121515339195e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,1.2000000000000002,0.8333333333333331,4.645498809789255e-13,4.679353463361755e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,1.3000000000000005,0.769230769230769,4.480848184628633e-13,4.706509852796332e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,1.4,0.7142857142857142,4.139541421388828e-13,4.661885874887537e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,1.5000000000000002,0.6666666666666665,3.722957542238821e-13,4.465119773500952e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,1.6,0.625,3.4926619226054737e-13,4.4303331178391036e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,1.7000000000000002,0.588235294117647,3.584500014844721e-13,4.733306987074442e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,1.8000000000000005,0.5555555555555555,3.705099509521248e-13,4.98001113034764e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,1.9,0.5263157894736842,3.689485106761134e-13,4.943384532015495e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,2.0,0.5,3.671531495331672e-13,4.824175214431088e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,2.1,0.4761904761904761,3.7596052293521693e-13,4.798749216338032e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,2.2,0.4545454545454545,3.949995954375481e-13,4.883350100145932e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,2.3000000000000003,0.4347826086956521,4.185765264099202e-13,5.018332879442435e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,2.4000000000000004,0.4166666666666666,4.406131593950882e-13,5.138288570879569e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,2.5000000000000004,0.3999999999999999,4.576131087419114e-13,5.207533285740468e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,2.6,0.3846153846153846,4.690297476408581e-13,5.224541277258218e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,2.7,0.3703703703703703,4.762573173964523e-13,5.205017525691852e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,2.8000000000000003,0.3571428571428571,4.809989191044464e-13,5.166745428201341e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,2.9000000000000004,0.3448275862068965,4.846386737912571e-13,5.123112220620523e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,3.0000000000000004,0.3333333333333332,4.881370499784229e-13,5.082782874378128e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,3.1,0.3225806451612903,4.921418566702623e-13,5.05128458870046e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
1,0.5,1,1,3.2,0.3125,4.971048799306268e-13,5.03238020010889e-13,0.25,50000000000.0,2700,3333.333333333333,1924.5008972987523,2502.294445801098
