sample_size,mse,mae,mape,rmse,r2,mean_rel_error,std_rel_error,accuracy,accuracy_std
100,0.12628073385694502,0.2846294881768934,0.2807542395152833,0.3541671272182954,0.3261150618343873,28.075423951528325,30.19669507539358,71.92457604847168,3.6334305593342267
200,0.10772398380557983,0.2586028920707973,0.2484579159193762,0.3270143458665356,0.4251413659979753,24.845791591937623,26.351227833694026,75.15420840806239,1.946981549381328
500,0.07073999583119049,0.1958512725248084,0.18983011918264367,0.26574603503115823,0.6225028453624577,18.983011918264364,23.623760312771907,81.01698808173563,1.8191878424721082
1000,0.05552765664598044,0.16017228006260656,0.15501380480442964,0.23558990956567694,0.7036820239915009,15.501380480442968,21.93447390676327,84.49861951955704,0.8869454463254548
2000,0.04484947147333163,0.13060734913357094,0.12498063869695945,0.21174748999444973,0.7606651277082017,12.498063869695946,20.297348362726897,87.50193613030406,0.4955966452660302
5000,0.035810239969457196,0.10857993392277827,0.10361512803725402,0.18921849003860514,0.8089021134858868,10.361512803725402,19.033144971966,89.6384871962746,0.39560259040106455
10000,0.031713616954746504,0.09654022706527532,0.09334145765477582,0.1780744339902112,0.8307633464914179,9.334145765477581,18.403348044286005,90.66585423452243,0.23301045058261244
20000,0.0288406209595858,0.09156486917125595,0.08925782787409747,0.1698239325406777,0.8460948121031252,8.925782787409746,17.8799626568926,91.07421721259026,0.2345346216419465
50000,0.02767773188156249,0.08751780412563116,0.08445539648123217,0.16635588023413636,0.8523004573389611,8.445539648123216,17.464175439970422,91.55446035187678,0.2296358355664215
100000,0.026148990621594037,0.08684585621177536,0.08455744983657144,0.16169748256941016,0.8604584374043296,8.455744983657148,17.2919584540771,91.54425501634285,0.25248068590271905
