sample_size,mse,mae,mape,rmse,r2,mean_rel_error,std_rel_error,accuracy,accuracy_std
100,0.007571058953708198,0.06428440543956133,0.06476263538871536,0.08690315101469143,0.4318437140094005,6.476263538871538,5.925583524332045,93.52373646112846,0.19931440170403836
200,0.006885465562504556,0.06176338787189691,0.06211428756988175,0.08297188370181789,0.4832928173947568,6.211428756988177,5.486175972807993,93.78857124301182,0.187832765758465
500,0.005926662376212891,0.056324309105935035,0.05656116712409628,0.07692397555879286,0.5552444506669577,5.656116712409626,5.274399837157591,94.34388328759037,0.4975687650624761
1000,0.004449376972877065,0.0443015930159315,0.0451782178584309,0.06669175887604412,0.6661046345909406,4.517821785843091,5.250077574574255,95.48217821415692,0.17954538802436043
2000,0.00345802049510069,0.03755673881074884,0.03833043033336125,0.05880364996305847,0.7404991701440258,3.8330430333361245,4.731436651055603,96.16695696666388,0.07531974612653623
5000,0.002381111048643044,0.02861916566008296,0.02983518699483936,0.04879124999408202,0.8213138719167402,2.983518699483936,4.306437485058411,97.01648130051608,0.0764107881089622
10000,0.0019768966184797146,0.02531194767900835,0.026308417551726308,0.044460097264766886,0.8516474052823629,2.6308417551726313,3.936297201237362,97.36915824482736,0.12428724925542237
20000,0.0018541150483093723,0.023513168640279625,0.0242731952025913,0.04305402953014808,0.8608613238798278,2.4273195202591293,3.8341021498986083,97.57268047974087,0.0502775081152085
50000,0.0016149027180948031,0.022628372352971975,0.023167760382509405,0.040174779832040604,0.8788125761324999,2.3167760382509406,3.4861951481639415,97.68322396174905,0.0291480318895361
100000,0.0015513905829661098,0.02240682297267876,0.02284145571029847,0.03938718758323547,0.8835787282692994,2.2841455710298475,3.376970077168805,97.71585442897015,0.027835625699102206
