sample_size,mse,mae,mape,rmse,r2,mean_rel_error,std_rel_error,accuracy,accuracy_std
100,0.07545007862825975,0.2341975028859827,0.71887074163287,0.27460028142159515,-0.11120646278708834,71.88707416328698,93.44983553949085,28.112925836713014,5.373383767015531
200,0.07690938927194138,0.23587248251698947,0.6730492022286229,0.2770332822241343,-0.13269875872573897,67.30492022286228,84.17866698661443,32.695079777137714,3.0971092766629025
500,0.06995644468625985,0.22761540548121098,0.671691344742895,0.2644925222023792,-0.030297845440063382,67.1691344742895,85.1792962402602,32.8308655257105,1.6538436904745044
1000,0.0686660135159183,0.22618610199511788,0.6893276854638644,0.2620413649631477,-0.011292756481437202,68.93276854638644,88.76431841362792,31.067231453613562,0.9082141092525423
2000,0.06814652663600922,0.22571111707195615,0.6789675802259462,0.2610487504395697,-0.0036419072207993786,67.89675802259464,86.66920640642633,32.103241977405354,1.055652418177859
5000,0.06818967090781618,0.22571361399919002,0.6670644965225593,0.2611310520417449,-0.004277323306981939,66.70644965225593,84.28222157909391,33.293550347744066,0.5590248074550129
10000,0.06774855198642714,0.22504181262754494,0.6786635337923234,0.26028477568951003,0.002219345818046244,67.86635337923232,86.83139354039507,32.13364662076767,0.8133497734785131
20000,0.06765700737230602,0.22494229924095735,0.67781855191447,0.26010922213825666,0.0035675878436898234,67.78185519144701,86.64410900938203,32.218144808553,0.26625812749143557
50000,0.06711865428341778,0.2237131215159813,0.6761257586237668,0.2590725313521096,0.011496293055270076,67.61257586237667,86.71543372834344,32.38742413762333,0.4809325426161294
100000,0.066103297287401,0.22134996158889483,0.6700763543122562,0.25709177564522867,0.026450170857954387,67.00763543122564,86.42105400732167,32.99236456877437,0.5868794617610248
