K_Nu,K_E,K_Rho,K_incl_top_position_y,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
0.8,1,1,1,0.1,10.0,5.331370824112448e-13,5.331385799726297e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,0.2,5.0,5.33486876098353e-13,5.331506754639448e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,0.3,3.3333333333333326,5.366543464635416e-13,5.363065062034615e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,0.4,2.5,5.329471198740349e-13,5.332101566387824e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,0.5,2.0,5.331205081009768e-13,5.332521442605319e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,0.6,1.6666666666666667,5.364566583437273e-13,5.3686077246014e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,0.7000000000000001,1.4285714285714284,5.369397891829506e-13,5.379983674704783e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,0.8,1.25,5.343006167419386e-13,5.345230272931672e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,0.9,1.1111111111111112,5.326979867969113e-13,5.353387009710304e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,1.0,1.0,5.364939237333868e-13,5.352100001576838e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,1.1,0.909090909090909,5.390535916862174e-13,5.389458766767535e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,1.2000000000000002,0.8333333333333331,5.409443265758241e-13,5.395845467958755e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,1.3000000000000005,0.769230769230769,5.431074710190284e-13,5.374476425409427e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,1.4,0.7142857142857142,5.472434929687086e-13,5.400042325388199e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,1.5000000000000002,0.6666666666666665,5.47174853299753e-13,5.411885418770964e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,1.6,0.625,5.42215075871767e-13,5.372184585854051e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,1.7000000000000002,0.588235294117647,5.44871793280043e-13,5.391552419633166e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,1.8000000000000005,0.5555555555555555,5.478646936314232e-13,5.405660950709507e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,1.9,0.5263157894736842,5.468003832474125e-13,5.382466964714988e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,2.0,0.5,5.454489654204812e-13,5.365287017263431e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,2.1,0.4761904761904761,5.455629595778088e-13,5.3730486249051e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,2.2,0.4545454545454545,5.455464414815555e-13,5.387877008617676e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,2.3000000000000003,0.4347826086956521,5.437518363120084e-13,5.389097647961579e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,2.4000000000000004,0.4166666666666666,5.40429950682849e-13,5.374635264599226e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,2.5000000000000004,0.3999999999999999,5.371025138882225e-13,5.35587142407522e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,2.6,0.3846153846153846,5.348637370054698e-13,5.344150343730303e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,2.7,0.3703703703703703,5.342524400049598e-13,5.344394938879159e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,2.8000000000000003,0.3571428571428571,5.350117440372167e-13,5.354905382164243e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,2.9000000000000004,0.3448275862068965,5.365177223518059e-13,5.370408676254453e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,3.0000000000000004,0.3333333333333332,5.38111332971259e-13,5.385140328275893e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,3.1,0.3225806451612903,5.393027790449509e-13,5.394822868618798e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,3.2,0.3125,5.398437230903381e-13,5.397406749848132e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,3.3000000000000003,0.303030303030303,5.397038025394768e-13,5.392881277746617e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,3.4000000000000004,0.2941176470588235,5.390853805461292e-13,5.38362323530426e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,3.5000000000000004,0.2857142857142857,5.37991552801038e-13,5.369500384054201e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,3.6,0.2777777777777778,5.367203900611116e-13,5.353743373720179e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,3.7,0.2702702702702703,5.354386216942694e-13,5.338099596912515e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,3.8,0.2631578947368421,5.342678048652879e-13,5.323847419972272e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,3.9,0.2564102564102564,5.33282563693066e-13,5.311781326573274e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,4.0,0.25,5.325170835313258e-13,5.302276479695508e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,4.1,0.2439024390243902,5.31974674441802e-13,5.295385215510673e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,4.2,0.238095238095238,5.316376728484001e-13,5.290936594755691e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,4.3,0.2325581395348837,5.314760536288859e-13,5.288623696674759e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,4.4,0.2272727272727273,5.314541947611942e-13,5.288072912032099e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,4.5,0.2222222222222222,5.31535759649589e-13,5.28889474000139e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,4.6,0.2173913043478261,5.316870308220098e-13,5.290718929791364e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,4.7,0.2127659574468085,5.318783840766704e-13,5.29321265928805e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,4.8,0.2083333333333333,5.320857815722809e-13,5.296095437522524e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,4.9,0.2040816326530611,5.322905558208595e-13,5.299140055328449e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,5.0,0.2,5.325785306130668e-13,5.303114598125713e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,5.1,0.196078431372549,5.327350415594793e-13,5.305938216119598e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,5.2,0.1923076923076923,5.328620635139328e-13,5.308541774247559e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,5.3,0.1886792452830188,5.329576611588899e-13,5.310874342822087e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,5.4,0.1851851851851851,5.330223097103328e-13,5.312912628276351e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,5.5,0.1818181818181818,5.33058245258111e-13,5.314654634857155e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,5.6,0.1785714285714285,5.330689022944254e-13,5.316114034282647e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,5.7,0.175438596491228,5.330586053360319e-13,5.317317101041882e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,5.8,0.1724137931034483,5.330315608478084e-13,5.318291842427548e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,5.9,0.1694915254237288,5.329925090986438e-13,5.319075052454252e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
0.8,1,1,1,6.0,0.1666666666666666,5.329458861614346e-13,5.319703113530151e-13,0.25,50000000000.0,2700,4536.092116265145,2777.777777777778,2502.294445801098
