K_Nu,K_E,K_Rho,K_incl_top_position_y,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1,1,1,0.1,0.1,10.0,5.331340806093767e-13,5.331372227725544e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,0.2,5.0,5.334826596467386e-13,5.331472460800772e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,0.3,3.3333333333333326,5.367524245174299e-13,5.364047210680758e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,0.4,2.5,5.330409246854219e-13,5.333101648138029e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,0.5,2.0,5.331410912857392e-13,5.331652671471906e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,0.6,1.6666666666666667,5.366535936135561e-13,5.366455820148497e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,0.7000000000000001,1.4285714285714284,5.374988080186623e-13,5.374912423010453e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,0.8,1.25,5.347045157193367e-13,5.334067042404707e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,0.9,1.1111111111111112,5.325366286798342e-13,5.3383014715901e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,1.0,1.0,5.348544027796069e-13,5.331293885493852e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,1.1,0.909090909090909,5.351898110685928e-13,5.359122564236688e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,1.2000000000000002,0.8333333333333331,5.356609554036141e-13,5.365803799756883e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,1.3000000000000005,0.769230769230769,5.361461476254354e-13,5.345491696101974e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,1.4,0.7142857142857142,5.376840382122944e-13,5.360766507404939e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,1.5000000000000002,0.6666666666666665,5.363995860331155e-13,5.369284516111274e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,1.6,0.625,5.317478072461342e-13,5.336678528415056e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,1.7000000000000002,0.588235294117647,5.347402899212058e-13,5.362542687968261e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,1.8000000000000005,0.5555555555555555,5.378891749084935e-13,5.379370616801825e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,1.9,0.5263157894736842,5.369245824476164e-13,5.355306050896573e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,2.0,0.5,5.359783354045631e-13,5.337486072435347e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,2.1,0.4761904761904761,5.370887859725905e-13,5.348821993156833e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,2.2,0.4545454545454545,5.385555777713328e-13,5.370784579980485e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,2.3000000000000003,0.4347826086956521,5.383758989308746e-13,5.379985322530242e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,2.4000000000000004,0.4166666666666666,5.364141308856466e-13,5.371329654452165e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,2.5000000000000004,0.3999999999999999,5.339339478338422e-13,5.354690659963108e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,2.6,0.3846153846153846,5.321326682700995e-13,5.34145661938021e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,2.7,0.3703703703703703,5.31624931876255e-13,5.337854654121932e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,2.8000000000000003,0.3571428571428571,5.323112771090756e-13,5.343607784569736e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,2.9000000000000004,0.3448275862068965,5.337159494396959e-13,5.354759896591267e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,3.0000000000000004,0.3333333333333332,5.352948732258736e-13,5.366558867234663e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,3.1,0.3225806451612903,5.366301432536209e-13,5.37534525294212e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,3.2,0.3125,5.375018130670425e-13,5.379283977184318e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,3.3000000000000003,0.303030303030303,5.378721568697573e-13,5.378244225331571e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,3.4000000000000004,0.2941176470588235,5.378836688014684e-13,5.373600559229286e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,3.5000000000000004,0.2857142857142857,5.375535916465023e-13,5.366076740355887e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,3.6,0.2777777777777778,5.37106886450911e-13,5.357794088757768e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,3.7,0.2702702702702703,5.366698304450626e-13,5.350077684178446e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,3.8,0.2631578947368421,5.3632979016426e-13,5.343847233355807e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,3.9,0.2564102564102564,5.361344400236206e-13,5.339610663542014e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,4.0,0.25,5.36097827350833e-13,5.33752494616454e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,4.1,0.2439024390243902,5.362091362978503e-13,5.337483824831556e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,4.2,0.238095238095238,5.364415768319518e-13,5.339207265988535e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,4.3,0.2325581395348837,5.367600681746925e-13,5.34231949442044e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,4.4,0.2272727272727273,5.371272073041006e-13,5.34641046254868e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,4.5,0.2222222222222222,5.375074873811891e-13,5.351080235190017e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,4.6,0.2173913043478261,5.37870544020295e-13,5.35597339215981e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,4.7,0.2127659574468085,5.381903175895258e-13,5.360774956077877e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,4.8,0.2083333333333333,5.384488523795265e-13,5.365247883075084e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,4.9,0.2040816326530611,5.386339400371937e-13,5.369213371921448e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,5.0,0.2,5.387559707473986e-13,5.372657133401362e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,5.1,0.196078431372549,5.38773119656678e-13,5.375259497342274e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,5.2,0.1923076923076923,5.387114033753743e-13,5.377141622772523e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,5.3,0.1886792452830188,5.385760786328123e-13,5.378314648863178e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,5.4,0.1851851851851851,5.383744593278927e-13,5.378815423402139e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,5.5,0.1818181818181818,5.381151682074526e-13,5.378699079076272e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,5.6,0.1785714285714285,5.37807510920515e-13,5.378032644939352e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,5.7,0.175438596491228,5.37460973986332e-13,5.376889757656444e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,5.8,0.1724137931034483,5.370848392215105e-13,5.37534644236237e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,5.9,0.1694915254237288,5.366879021280344e-13,5.37347787523184e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,6.0,0.1666666666666666,5.362782791135291e-13,5.37135600703285e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,6.1,0.1639344262295081,5.358632881054424e-13,5.369047916218582e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,6.2,0.1612903225806451,5.354493875498718e-13,5.366614759431544e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,6.3,0.1587301587301587,5.350421604986017e-13,5.364111197518291e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,6.4,0.15625,5.346463320870242e-13,5.361585188209629e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,6.5,0.1538461538461538,5.342658106739299e-13,5.359078051965583e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,6.6,0.1515151515151515,5.339037446829925e-13,5.356624733203257e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,6.7,0.1492537313432836,5.335625888931664e-13,5.354254194088583e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,6.8,0.1470588235294117,5.33246152001174e-13,5.352008413298582e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,6.9,0.144927536231884,5.329518383870459e-13,5.349869559994762e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,7.0,0.1428571428571428,5.326823479063167e-13,5.347869424848171e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,7.1,0.1408450704225352,5.324380681107383e-13,5.346018106881904e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,7.2,0.1388888888888889,5.322190357348736e-13,5.344322293935698e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,7.3,0.136986301369863,5.320249939983726e-13,5.342785741169954e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,7.4,0.1351351351351351,5.318554444218478e-13,5.341409713505e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,7.5,0.1333333333333333,5.317096930840495e-13,5.340193388351373e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,7.6,0.131578947368421,5.315868915216084e-13,5.339134218416045e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,7.7,0.1298701298701298,5.314860724696343e-13,5.33822825431228e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,7.8,0.1282051282051282,5.314061808367927e-13,5.337470429232921e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,7.9,0.1265822784810126,5.313461002992931e-13,5.336854807628973e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,8.0,0.125,5.313046758874371e-13,5.336374800596361e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
1,1,1,0.1,8.1,0.1234567901234568,5.31280733087904e-13,5.336023351287216e-13,0.25,50000000000.0,2700,4714.045207910317,2721.655269759087,2502.294445801098
