K_Nu,K_E,K_Rho,K_incl,F,K_lambda_r,A2,А2_surface,Nu_host medium,E,Rho,Vp,Vs,Z
1,1,1.98177,1,0.1,10.0,5.331372849047733e-13,5.331413388355271e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,0.2,5.0,5.334628498057726e-13,5.33137153344513e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,0.3,3.3333333333333326,5.366540348414391e-13,5.363021016157323e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,0.4,2.5,5.331393716747105e-13,5.333450286727464e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,0.5,2.0,5.325957294789777e-13,5.32892347202496e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,0.6,1.6666666666666667,5.365233464590069e-13,5.352196470655824e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,0.7000000000000001,1.4285714285714284,5.359984611095223e-13,5.336056965884248e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,0.8,1.25,5.445468394329926e-13,5.271125689896949e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,0.9,1.1111111111111112,5.368945377932049e-13,5.18894566589736e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,1.0,1.0,5.470373476436543e-13,5.155364422335852e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,1.1,0.909090909090909,5.456889274656104e-13,5.056839514440126e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,1.2000000000000002,0.8333333333333331,5.461134819187226e-13,5.012976125121056e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,1.3000000000000005,0.769230769230769,5.335585276619915e-13,4.786966112712296e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,1.4,0.7142857142857142,5.24585247583858e-13,4.642748927063148e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,1.5000000000000002,0.6666666666666665,5.483078296771224e-13,4.857432984836739e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,1.6,0.625,5.309918055283065e-13,4.816081684563388e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,1.7000000000000002,0.588235294117647,4.731222673465311e-13,4.458056454438551e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,1.8000000000000005,0.5555555555555555,4.250286664133319e-13,4.1597673724088774e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,1.9,0.5263157894736842,4.0485380756216984e-13,4.1032514491025284e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,2.0,0.5,4.05008376482166e-13,4.2806987255798077e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,2.1,0.4761904761904761,4.009472336247105e-13,4.5026258960779133e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,2.2,0.4545454545454545,3.721361625239133e-13,4.5373577857467094e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,2.3000000000000003,0.4347826086956521,3.2602302281988385e-13,4.380156078637421e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,2.4000000000000004,0.4166666666666666,2.834142173864161e-13,4.2053386679134257e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,2.5000000000000004,0.3999999999999999,2.554507943459608e-13,4.136298135858229e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,2.6,0.3846153846153846,2.4331215954879586e-13,4.20155912306957e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,2.7,0.3703703703703703,2.443945699309575e-13,4.38103601613568e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,2.8000000000000003,0.3571428571428571,2.5527548460485793e-13,4.63835837504689e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,2.9000000000000004,0.3448275862068965,2.724867457414927e-13,4.932136710541778e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,3.0000000000000004,0.3333333333333332,2.926897649207478e-13,5.220916622109683e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,3.1,0.3225806451612903,3.128586360963341e-13,5.467918711284353e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,3.2,0.3125,3.3057760667396745e-13,5.646405974915284e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,3.3000000000000003,0.303030303030303,3.4431889491775654e-13,5.743552851194794e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,3.4000000000000004,0.2941176470588235,3.534979445023948e-13,5.760106961471385e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,3.5000000000000004,0.2857142857142857,3.584169786082974e-13,5.70868519750961e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,3.6,0.2777777777777778,3.598933915951895e-13,5.607201049154177e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,3.7,0.2702702702702703,3.58916345652842e-13,5.47387731335636e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,3.8,0.2631578947368421,3.5643639437631773e-13,5.324536463144803e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,3.9,0.2564102564102564,3.5324203635417873e-13,5.171322617269973e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,4.0,0.25,3.4992372473097825e-13,5.022675470293704e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,4.1,0.2439024390243902,3.468881574978631e-13,4.883920886855509e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,4.2,0.238095238095238,3.44393681982879e-13,4.758042520877187e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,4.3,0.2325581395348837,3.4258875025302174e-13,4.646394566422718e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,4.4,0.2272727272727273,3.415452439508776e-13,4.549268335433804e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,4.5,0.2222222222222222,3.412842545728014e-13,4.4663044096636426e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,4.6,0.2173913043478261,3.417947598741596e-13,4.396775701549274e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,4.7,0.2127659574468085,3.4304614759032643e-13,4.3397682399795866e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,4.8,0.2083333333333333,3.4499711107632023e-13,4.2943015418551664e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,4.9,0.2040816326530611,3.476008180230927e-13,4.2593939105652923e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,5.0,0.2,3.508223297219861e-13,4.2341307454289443e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,5.1,0.196078431372549,3.546052568535484e-13,4.2178236143858404e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,5.2,0.1923076923076923,3.588926528914784e-13,4.209387430543546e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,5.3,0.1886792452830188,3.6363839609606333e-13,4.2080711117082405e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
1,1,1.98177,1,5.4,0.1851851851851851,3.6879818557701916e-13,4.2131853409998494e-13,0.25,50000000000.0,2700,3348.6296492328456,1933.3322294009452,2502.294445801098
